seed,workload,broadcast_baseline_ms,broadcast_baseline_arch,guided_actual_ms,guided_arch,guided_topology,oracle_ms,oracle_arch,oracle_topology,improvement_pct,oracle_regret_pct
33,s64_ffn_contract,7.22492095597993,r11_c13_k192,6.719309691495614,r11_c13_k192,local,5.994505343416036,r13_c11_k192,local,7.524750126106716,12.091145249802038
33,s128_qkv,11.307016205148946,r11_c13_k192,10.578232130419565,r11_c13_k192,local,9.328696956440222,r13_c11_k192,local,6.889469485488364,13.394530659683458
33,s128_attn_out,3.7690054017163153,r11_c13_k192,3.5260773768065214,r11_c13_k192,local,3.145723392287982,r13_c11_k192,local,6.889469485488364,12.091145249802038
33,s128_ffn_expand,14.604895931650722,r11_c13_k192,13.663549835125272,r11_c13_k192,local,11.932054246609587,r13_c11_k192,local,6.889469485488364,14.511294976786404
33,s128_ffn_contract,14.44984191195986,r11_c13_k192,13.438619382991227,r11_c13_k192,local,11.989010686832072,r13_c11_k192,local,7.524750126106716,12.091145249802038
33,s256_qkv,22.61403241029789,r11_c13_k192,21.15646426083913,r11_c13_k192,local,18.657393912880444,r13_c11_k192,local,6.889469485488364,13.394530659683458
33,s256_attn_out,7.5380108034326305,r11_c13_k192,7.052154753613043,r11_c13_k192,local,6.291446784575964,r13_c11_k192,local,6.889469485488364,12.091145249802038
33,s256_ffn_expand,29.209791863301444,r11_c13_k192,27.327099670250544,r11_c13_k192,local,23.864108493219174,r13_c11_k192,local,6.889469485488364,14.511294976786404
33,s256_ffn_contract,28.89968382391972,r11_c13_k192,26.877238765982455,r11_c13_k192,local,23.978021373664145,r13_c11_k192,local,7.524750126106716,12.091145249802038
34,s64_qkv,5.6560186412666225,r11_c13_k384,5.107131521599742,r11_c13_k384,local,5.104282125209204,r13_c11_k192,local,10.747463959865854,0.05582364611989021
34,s64_attn_out,1.8853395470888743,r11_c13_k384,1.7023771738665805,r11_c13_k384,local,1.7023771738665805,r11_c13_k384,local,10.747463959865854,0.0
34,s64_ffn_expand,7.305690744969388,r11_c13_k384,6.5967115487329995,r11_c13_k384,local,6.528732950848982,r13_c11_k192,local,10.747463959865854,1.0412219093013597
34,s64_ffn_contract,7.235627450989734,r11_c13_k384,6.5431858860577465,r11_c13_k384,local,6.5431858860577465,r11_c13_k384,local,10.582636302713722,0.0
34,s128_qkv,11.312037282533245,r11_c13_k384,10.214263043199484,r11_c13_k384,local,10.208564250418409,r13_c11_k192,local,10.747463959865854,0.05582364611989021
34,s128_attn_out,3.7706790941777486,r11_c13_k384,3.404754347733161,r11_c13_k384,local,3.404754347733161,r11_c13_k384,local,10.747463959865854,0.0
34,s128_ffn_expand,14.611381489938776,r11_c13_k384,13.193423097465999,r11_c13_k384,local,13.057465901697965,r13_c11_k192,local,10.747463959865854,1.0412219093013597
34,s128_ffn_contract,14.471254901979467,r11_c13_k384,13.086371772115493,r11_c13_k384,local,13.086371772115493,r11_c13_k384,local,10.582636302713722,0.0
34,s256_qkv,22.62407456506649,r11_c13_k384,20.428526086398968,r11_c13_k384,local,20.417128500836817,r13_c11_k192,local,10.747463959865854,0.05582364611989021
34,s256_attn_out,7.541358188355497,r11_c13_k384,6.809508695466322,r11_c13_k384,local,6.809508695466322,r11_c13_k384,local,10.747463959865854,0.0
34,s256_ffn_expand,29.22276297987755,r11_c13_k384,26.386846194931998,r11_c13_k384,local,26.11493180339593,r13_c11_k192,local,10.747463959865854,1.0412219093013597
34,s256_ffn_contract,28.942509803958934,r11_c13_k384,26.172743544230986,r11_c13_k384,local,26.172743544230986,r11_c13_k384,local,10.582636302713722,0.0
