name,topology,rows,cols,k_tile,pe_count,seed,route_ok,routed_fmax_mhz,routed_period_ns,synth_dsp,synth_bram,synth_lut4,synth_ff,elapsed_sec,error_stage,timing_metric,phase
r10_c13_k320,broadcast,10,13,320,130,35,True,43.43671417236328,23.02199922470776,130,6,0,4379,54.140143394470215,,post_route_report_json,selection
r10_c13_k448,broadcast,10,13,448,130,35,True,45.54356002807617,21.95700115194182,130,6,0,4379,48.3339467048645,,post_route_report_json,selection
r13_c10_k320,broadcast,13,10,320,130,35,True,46.860355377197266,21.34000034678803,130,6,0,4382,52.97794055938721,,post_route_report_json,selection
r13_c10_k448,broadcast,13,10,448,130,35,True,44.71671676635742,22.36300140783925,130,6,0,4382,49.32282257080078,,post_route_report_json,selection
r08_c11_k320,broadcast,8,11,320,88,36,True,48.10467529296875,20.78800020808301,88,5,0,3008,23.799362182617188,,post_route_report_json,selection
r08_c11_k448,broadcast,8,11,448,88,36,True,48.222984313964844,20.73699946667156,88,5,0,3008,26.939982891082764,,post_route_report_json,selection
r11_c08_k320,broadcast,11,8,320,88,36,True,49.85044860839844,20.06000001836548,88,5,0,3012,26.017115116119385,,post_route_report_json,selection
r11_c08_k448,broadcast,11,8,448,88,36,True,51.345245361328125,19.476000026151855,88,5,0,3012,21.372909545898438,,post_route_report_json,selection
r10_c13_k320,broadcast,10,13,320,130,36,True,47.95473098754883,20.852999889826183,130,6,0,4379,43.4629180431366,,post_route_report_json,selection
r10_c13_k448,broadcast,10,13,448,130,36,True,44.04704284667969,22.702999687875323,130,6,0,4379,41.27353572845459,,post_route_report_json,selection
r13_c10_k320,broadcast,13,10,320,130,36,True,46.244911193847656,21.624000872403844,130,6,0,4382,40.412503480911255,,post_route_report_json,selection
r13_c10_k448,broadcast,13,10,448,130,36,True,45.96221923828125,21.756999913683778,130,6,0,4382,40.59281277656555,,post_route_report_json,selection
r08_c11_k320,broadcast,8,11,320,88,37,True,47.57826614379883,21.018000046021776,88,5,0,3008,41.21434807777405,,post_route_report_json,selection
r08_c11_k448,broadcast,8,11,448,88,37,True,47.31488037109375,21.13500007094879,88,5,0,3008,29.874309062957764,,post_route_report_json,selection
r11_c08_k320,broadcast,11,8,320,88,37,True,49.31209945678711,20.278998684213683,88,5,0,3012,29.058177947998047,,post_route_report_json,selection
r11_c08_k448,broadcast,11,8,448,88,37,True,47.21657943725586,21.179001357539214,88,5,0,3012,31.383625984191895,,post_route_report_json,selection
r10_c13_k320,broadcast,10,13,320,130,37,True,43.58058166503906,22.945999383074174,130,6,0,4379,43.91317653656006,,post_route_report_json,selection
r10_c13_k448,broadcast,10,13,448,130,37,True,45.25091552734375,22.099000392505438,130,6,0,4379,49.399497270584106,,post_route_report_json,selection
r13_c10_k320,broadcast,13,10,320,130,37,True,46.40586471557617,21.549000457788022,130,6,0,4382,43.47842240333557,,post_route_report_json,selection
r13_c10_k448,broadcast,13,10,448,130,37,True,45.30010986328125,22.07500165050519,130,6,0,4382,44.435264348983765,,post_route_report_json,selection
