split,device,topology,rows,cols,pe_count,sqrt_pe,seed,route_ok,synth_dsp,routed_fmax_mhz,routed_period_ns,elapsed_sec,error_stage
discovery,85k,broadcast,9,9,81,9.0,19,True,81,79.35248565673828,12.601999694449196,27.614869832992554,
discovery,85k,broadcast,11,11,121,11.0,19,True,121,76.45844268798828,13.079000367308048,151.3780119419098,
discovery,85k,local,3,3,9,3.0,17,True,9,105.11931610107422,9.512999485636692,2.819732666015625,
discovery,85k,local,5,5,25,5.0,17,True,25,100.19036102294922,9.98100006617347,5.7576904296875,
discovery,85k,local,7,7,49,7.0,17,True,49,100.77597045898438,9.923000447879568,11.2566556930542,
discovery,85k,local,9,9,81,9.0,17,True,81,96.75859069824219,10.334999639656461,20.89571499824524,
discovery,85k,local,11,11,121,11.0,17,True,121,95.10223388671875,10.515000112312318,480.8593771457672,
discovery,85k,local,3,3,9,3.0,18,True,9,106.57571411132812,9.383000698971701,3.0669047832489014,
discovery,85k,local,5,5,25,5.0,18,True,25,105.47410583496094,9.48100002444899,5.996603488922119,
discovery,85k,local,7,7,49,7.0,18,True,49,101.4713363647461,9.854999804136089,15.578179836273193,
discovery,85k,local,9,9,81,9.0,18,True,81,99.33445739746094,10.067000174962054,147.49279403686523,
discovery,85k,local,11,11,121,11.0,18,True,121,94.33072662353516,10.600999650844456,32.587822914123535,
discovery,85k,local,3,3,9,3.0,19,True,9,106.65528869628906,9.376000123609376,2.8894877433776855,
discovery,85k,local,5,5,25,5.0,19,True,25,103.23113250732422,9.687000187942822,6.541326522827148,
discovery,85k,local,7,7,49,7.0,19,True,49,100.98969268798828,9.902000623861094,11.805896997451782,
discovery,85k,local,9,9,81,9.0,19,True,81,96.5623779296875,10.35600014664258,107.79896378517151,
discovery,85k,local,11,11,121,11.0,19,True,121,92.61832427978516,10.796999489854295,41.52809286117554,
holdout,25k,broadcast,3,7,21,4.58257569495584,20,True,21,97.61811065673828,10.244000762485287,7.773472309112549,
holdout,25k,broadcast,3,7,21,4.58257569495584,21,True,21,94.05567932128906,10.632000185592776,8.139445543289185,
holdout,25k,broadcast,3,7,21,4.58257569495584,22,True,21,96.78668212890625,10.332000002522461,5.984400272369385,
holdout,25k,local,3,7,21,4.58257569495584,20,True,21,103.85295104980469,9.628999367773677,5.3070807456970215,
holdout,25k,local,3,7,21,4.58257569495584,21,True,21,104.47138214111328,9.571999331350511,6.196237087249756,
holdout,25k,local,3,7,21,4.58257569495584,22,True,21,101.40959167480469,9.861000162654742,5.778817415237427,
holdout,45k,broadcast,3,7,21,4.58257569495584,20,True,21,90.60433197021484,11.036999868049783,4.1513590812683105,
holdout,45k,broadcast,5,9,45,6.708203932499369,20,True,45,83.3125,12.003000750187548,9.214743614196777,
holdout,45k,broadcast,3,7,21,4.58257569495584,21,True,21,91.92021942138672,10.878999270179438,5.6335601806640625,
holdout,45k,broadcast,5,9,45,6.708203932499369,21,True,45,84.93289947509766,11.774000489565298,18.577654123306274,
holdout,45k,broadcast,3,7,21,4.58257569495584,22,True,21,91.39932250976562,10.941000135894381,3.5545413494110107,
holdout,45k,broadcast,5,9,45,6.708203932499369,22,True,45,86.13264465332031,11.609999948625184,11.083390235900879,
holdout,45k,local,3,7,21,4.58257569495584,20,True,21,105.2964096069336,9.496999980654152,4.721977710723877,
holdout,45k,local,5,9,45,6.708203932499369,20,True,45,100.10010528564453,9.989999482482174,10.845205068588257,
holdout,45k,local,3,7,21,4.58257569495584,21,True,21,103.10340881347656,9.699000367767576,4.249271392822266,
holdout,45k,local,5,9,45,6.708203932499369,21,True,45,98.79470825195312,10.121999626232313,10.21797251701355,
holdout,45k,local,3,7,21,4.58257569495584,22,True,21,103.64842987060547,9.647999504173853,5.245687961578369,
holdout,45k,local,5,9,45,6.708203932499369,22,True,45,102.85948944091797,9.722000424417773,13.862800359725952,
holdout,85k,broadcast,3,7,21,4.58257569495584,20,True,21,93.00595092773438,10.752000168000002,5.1565375328063965,
holdout,85k,broadcast,5,9,45,6.708203932499369,20,True,45,83.899658203125,11.918999688639412,9.816619396209717,
holdout,85k,broadcast,7,11,77,8.774964387392123,20,True,77,78.5607681274414,12.72899977731631,21.673269748687744,
holdout,85k,broadcast,3,7,21,4.58257569495584,21,True,21,95.08414459228516,10.517000539763357,5.91975998878479,
holdout,85k,broadcast,5,9,45,6.708203932499369,21,True,45,85.65310668945312,11.674999759502416,9.145046472549438,
holdout,85k,broadcast,7,11,77,8.774964387392123,21,True,77,80.76239776611328,12.38199988682834,19.383713006973267,
holdout,85k,broadcast,3,7,21,4.58257569495584,22,True,21,89.3016586303711,11.198000298506264,5.772308826446533,
holdout,85k,broadcast,5,9,45,6.708203932499369,22,True,45,84.35260009765625,11.854999120860356,9.936089992523193,
holdout,85k,broadcast,7,11,77,8.774964387392123,22,True,77,78.6225357055664,12.718999597582311,55.161383390426636,
holdout,85k,local,3,7,21,4.58257569495584,20,True,21,105.95465087890625,9.438000047236084,4.8495306968688965,
holdout,85k,local,5,9,45,6.708203932499369,20,True,45,104.35145568847656,9.583000001316025,32.1562979221344,
holdout,85k,local,7,11,77,8.774964387392123,20,True,77,94.81369018554688,10.547000101388704,24.378756046295166,
holdout,85k,local,3,7,21,4.58257569495584,21,True,21,97.87609100341797,10.216999777454115,5.1911420822143555,
holdout,85k,local,5,9,45,6.708203932499369,21,True,45,100.60362243652344,9.939999930230714,11.292927026748657,
holdout,85k,local,7,11,77,8.774964387392123,21,True,77,95.9600830078125,10.420999739220587,23.319947242736816,
holdout,85k,local,3,7,21,4.58257569495584,22,True,21,101.80189514160156,9.822999843068224,5.537047386169434,
holdout,85k,local,5,9,45,6.708203932499369,22,True,45,105.13036346435547,9.51199983569971,18.266351461410522,
holdout,85k,local,7,11,77,8.774964387392123,22,True,77,100.66438293457031,9.934000197964542,61.84091377258301,
